rate,datetime
54.43,10:00:04 02/11/2022
54.43,10:01:04 02/11/2022
55.93,10:02:03 02/11/2022
55.93,10:03:03 02/11/2022
55.93,10:04:03 02/11/2022
55.93,10:05:03 02/11/2022
55.93,10:06:03 02/11/2022
55.93,10:07:03 02/11/2022
55.93,10:08:03 02/11/2022
55.93,10:09:03 02/11/2022
55.8,10:10:04 02/11/2022
55.8,10:11:03 02/11/2022
55.8,10:12:03 02/11/2022
55.8,10:13:03 02/11/2022
55.8,10:14:04 02/11/2022
55.8,10:15:03 02/11/2022
55.8,10:16:03 02/11/2022
55.8,10:17:03 02/11/2022
55.8,10:18:03 02/11/2022
55.8,10:19:03 02/11/2022
55.8,10:20:03 02/11/2022
55.83,10:21:03 02/11/2022
55.83,10:22:03 02/11/2022
55.83,10:23:03 02/11/2022
55.83,10:24:03 02/11/2022
55.83,10:25:03 02/11/2022
55.83,10:26:03 02/11/2022
55.83,10:27:03 02/11/2022
55.83,10:28:03 02/11/2022
55.83,10:29:03 02/11/2022
55.83,10:30:04 02/11/2022
55.76,10:31:03 02/11/2022
55.76,10:32:03 02/11/2022
55.76,10:33:03 02/11/2022
55.76,10:34:03 02/11/2022
55.76,10:35:03 02/11/2022
55.76,10:36:03 02/11/2022
55.76,10:37:03 02/11/2022
55.76,10:38:03 02/11/2022
55.76,10:39:03 02/11/2022
55.79,10:40:03 02/11/2022
55.79,10:41:03 02/11/2022
55.79,10:42:03 02/11/2022
55.79,10:43:03 02/11/2022
55.79,10:44:03 02/11/2022
55.79,10:45:04 02/11/2022
55.79,10:46:03 02/11/2022
55.79,10:47:03 02/11/2022
55.79,10:48:03 02/11/2022
55.79,10:49:03 02/11/2022
55.94,10:50:03 02/11/2022
55.94,10:51:03 02/11/2022
55.94,10:52:03 02/11/2022
55.94,10:53:03 02/11/2022
55.94,10:54:03 02/11/2022
55.94,10:55:03 02/11/2022
55.94,10:56:04 02/11/2022
55.94,10:57:03 02/11/2022
55.94,10:58:03 02/11/2022
55.94,10:59:03 02/11/2022
55.96,11:00:04 02/11/2022
55.96,11:01:03 02/11/2022
55.96,11:02:03 02/11/2022
55.96,11:03:03 02/11/2022
55.96,11:04:03 02/11/2022
55.96,11:05:03 02/11/2022
55.96,11:06:03 02/11/2022
55.96,11:07:03 02/11/2022
55.96,11:08:03 02/11/2022
55.96,11:09:03 02/11/2022
55.96,11:10:03 02/11/2022
55.96,11:11:03 02/11/2022
55.96,11:12:03 02/11/2022
55.96,11:13:03 02/11/2022
55.96,11:14:03 02/11/2022
55.96,11:15:03 02/11/2022
55.96,11:16:03 02/11/2022
55.96,11:17:03 02/11/2022
55.96,11:18:03 02/11/2022
55.96,11:19:03 02/11/2022
55.96,11:20:03 02/11/2022
55.96,11:21:03 02/11/2022
55.96,11:22:04 02/11/2022
55.96,11:23:03 02/11/2022
55.96,11:24:03 02/11/2022
55.96,11:25:03 02/11/2022
55.96,11:26:03 02/11/2022
55.96,11:27:03 02/11/2022
55.96,11:28:03 02/11/2022
55.96,11:29:03 02/11/2022
55.96,11:30:05 02/11/2022
56.18,11:31:03 02/11/2022
56.18,11:32:04 02/11/2022
56.18,11:33:03 02/11/2022
56.18,11:34:03 02/11/2022
56.18,11:35:04 02/11/2022
56.18,11:36:03 02/11/2022
56.18,11:37:03 02/11/2022
56.18,11:38:03 02/11/2022
56.18,11:39:03 02/11/2022
56.18,11:40:04 02/11/2022
56.17,11:41:03 02/11/2022
56.17,11:42:04 02/11/2022
56.17,11:43:03 02/11/2022
56.17,11:44:03 02/11/2022
56.17,11:45:03 02/11/2022
56.17,11:46:03 02/11/2022
56.17,11:47:03 02/11/2022
56.17,11:48:04 02/11/2022
56.17,11:49:04 02/11/2022
56.17,11:50:04 02/11/2022
56.11,11:51:03 02/11/2022
